epoch,DICE_metric,accuracy,io_u,loss,val_DICE_metric,val_accuracy,val_io_u,val_loss
0,0.0072308398299553425,0.743284,0.7479381,0.14588161617122739,3.699727472480755e-05,0.77483404,0.77483404,0.12747198025531628
1,0.0012087505548341608,0.7492174,0.74924976,0.136076959713504,0.0001755728872083933,0.77483404,0.77483404,0.12824358922593734
2,0.00128883751810136,0.7492016,0.74924976,0.1363316345466486,4.9750173969165005e-05,0.77483404,0.77483404,0.12645868847475333
3,0.0009517455097569509,0.7491845,0.74925035,0.13547716029481777,0.0034094113641306616,0.7738046,0.77483404,0.12452161969507441
4,0.0017670128975406285,0.74723583,0.7492505,0.1349363126946206,0.0003419629142742397,0.77481854,0.77483404,0.12630877928698764
5,0.0014454991343806946,0.7492154,0.74925035,0.13484271271586024,9.315558325027024e-05,0.77483404,0.77483404,0.1262099124929484
6,0.001323737004987302,0.7492194,0.74924976,0.13457615899279812,2.50126124502765e-05,0.77483404,0.77483404,0.12708519048550548
7,0.0009603361953707105,0.74919975,0.74924976,0.1347430393420505,0.00036594294773692644,0.77463996,0.77483404,0.12608243196326144
8,0.00056376596426322,0.7492376,0.74924976,0.13487626150842533,0.0002772510091238789,0.7746919,0.77483404,0.1260416179018862
9,0.0006075796163633778,0.7489304,0.74924976,0.1345992252378669,6.431740452129858e-09,0.77483404,0.77483404,0.1254553161561489
10,0.00014336486090033194,0.74924785,0.74924976,0.13396057030741151,9.164845327472785e-05,0.77483404,0.77483404,0.1250821119722198
11,0.0006214072349087821,0.74922425,0.74924994,0.13391586775515255,1.326035113458259e-05,0.77483404,0.77483404,0.12481506563284818
12,0.0003401757478708635,0.74923146,0.74924976,0.13437299141105238,0.00014291702183537574,0.77483404,0.77483404,0.12614428624510765
13,0.0014063642930871494,0.7492345,0.74925065,0.13449836590185466,9.330068993633454e-05,0.77483404,0.77483404,0.12565508977893522
14,0.0014638604492903898,0.74917287,0.74925005,0.13392714790950547,0.00013764690987426906,0.77483404,0.77483404,0.12428525440833148
15,0.0011581887786039514,0.7489985,0.74925005,0.13451288264886235,0.00010841257610917419,0.77483404,0.77483404,0.12708168476819992
16,0.0010797107615527681,0.7473346,0.74924994,0.13405434311127032,6.600855719417155e-05,0.77483404,0.77483404,0.12655520888374133
17,0.001213203078084455,0.74884456,0.74925005,0.13407409690946515,0.00017387375302225133,0.77483404,0.77483404,0.1251206162440426
18,0.0003314803277438486,0.7492344,0.74924994,0.13407524469129692,0.0005353384163346918,0.7742829,0.77483404,0.12612878125818336
19,0.0007084872933832543,0.7488677,0.74925005,0.134665272904819,0.00011282851170854778,0.77483404,0.77483404,0.1244895728852819
20,0.00031404331874257223,0.74923724,0.74924976,0.13360941350238015,0.0005121790862436723,0.7744332,0.77483404,0.12495859405573677
21,0.0010896674962241693,0.7491262,0.74925005,0.13410078439343448,0.0014086045611760183,0.7747001,0.77483404,0.12761284564347827
22,0.0009367994418775701,0.7488553,0.74925005,0.13322369214023974,0.00010479642677900775,0.7748331,0.77483404,0.12656626127222004
23,0.00035878191877000313,0.7492058,0.74924976,0.13423203034264758,0.001594856910439982,0.7742173,0.77483404,0.12646163824726553
24,0.000545486709798759,0.7488635,0.74924976,0.13428834170744514,0.00044525953749362983,0.77450246,0.77483404,0.12679289204671101
25,0.0011524679508648585,0.74893516,0.74924976,0.13325106398825418,0.0008708984020479615,0.7744642,0.77483404,0.14237654735060298
26,0.002136436259461763,0.7486455,0.74925023,0.1351099990382297,0.0030170029165229755,0.77361876,0.77483404,0.12666467785396995
27,0.0004537481392294621,0.74908596,0.74924976,0.13396800425372377,0.0024731766566305742,0.7743849,0.77483404,0.12411157852586578
28,0.0009172558552207439,0.7491546,0.74924976,0.13391695991898608,0.00017413444194015453,0.77483404,0.77483404,0.1267090115477057
29,0.0009806856509142518,0.74895644,0.74924946,0.1340868865719546,0.0004087831482479593,0.7744915,0.77483404,0.12388517400797676
30,0.0015529259619793088,0.7490875,0.74925035,0.1339933778905612,0.0014007918043685433,0.7735687,0.77483475,0.1251386688912616
31,0.0016802284301131532,0.74896485,0.74925035,0.13420348576214536,0.001713210015880396,0.7738146,0.7748354,0.12613121474928715
32,0.001931974723734446,0.7490717,0.74924564,0.13356892971803022,0.0007001439754372532,0.77455527,0.77483404,0.12376806183772929
33,0.0012277683819036723,0.74888265,0.74925005,0.13367848991360887,0.0020952982793374614,0.7735058,0.77483404,0.12446874150020235
34,0.001716553218087624,0.749013,0.74925035,0.1340229320432374,0.00028662208589578543,0.7742683,0.77483475,0.12820065350216978
35,0.0006216081747425914,0.7492352,0.74925005,0.13352382575340618,0.0007497561573200861,0.7733136,0.77483404,0.12621821167276187
36,0.0009519137487534089,0.7490149,0.74925005,0.13350045510771258,3.7787622056833286e-05,0.77483404,0.77483404,0.15135870139826746
37,0.0009792307633757899,0.7489805,0.74924976,0.13401318881784055,0.005761573361918819,0.77069914,0.77483404,0.1255252195850891
38,0.002394734477618162,0.7489863,0.74924594,0.13381439282108618,0.007967694164984239,0.77155817,0.77483404,0.1269447779392495
39,0.002751319058686598,0.74882203,0.74925095,0.1339466856385501,3.596162835807631e-05,0.774732,0.77483404,0.12820865904145382
40,0.0006916410852131783,0.74914855,0.74925005,0.13372971058286579,0.003581972609263023,0.7740706,0.77483475,0.1275497757117538
41,0.00103563776169837,0.74897486,0.74924994,0.13339608314366924,0.003401119382233157,0.77371716,0.77483404,0.1262174719835029
42,0.0009599800684964137,0.74832773,0.74924976,0.13496879696697983,0.00013462883559487186,0.77483404,0.77483404,0.12509730414432638
43,0.0006026179743768834,0.7492228,0.74925005,0.1342596323013503,9.944315005266095e-06,0.77483404,0.77483404,0.12601499960703008
44,0.0008054833641189025,0.7492365,0.74924976,0.13379709168479142,2.7000688789339525e-05,0.77483404,0.77483404,0.12420411648995736
45,0.0004286250361200242,0.74917454,0.74924976,0.13373439691788117,0.0011420247674679257,0.7738037,0.77483404,0.12797447655569105
